Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2295840;Prestea;Prestea;Esamang,Prestea,brystyh,brystyt,prystya,puresuti,Престеа,بريستية,بريستيه,پریستیا,プレスティ;P;PPL;GH;Ghana;;09;109;;;35611;;54;Africa/Accra;2023-12-01;Ghana;5.43385, -2.14295
2296969;Nungua;Nungua;Nungoa,Nungua,Nungwa;P;PPLX;GH;Ghana;;01;306;;;70483;;28;Africa/Accra;2023-06-21;Ghana;5.60105, -0.07713
2298330;Medina Estates;Medina Estates;Madina,Medina Estates;P;PPL;GH;Ghana;;01;303;;;101207;;86;Africa/Accra;2019-12-05;Ghana;5.6658, -0.16307
2303224;Bekwai;Bekwai;Bekawi,Bekwai,bekuwai,ベクワイ;P;PPL;GH;Ghana;;02;607;;;32082;;219;Africa/Accra;2023-12-01;Ghana;6.45195, -1.57866
11808941;Sekondi;Sekondi;;P;PPLA2;GH;Ghana;;09;105;;;285506;;7;Africa/Accra;2023-12-01;Ghana;4.93422, -1.71454
2294665;Teshi Old Town;Teshi Old Town;Tassi,Teshhi,Teshi Old Town,Teshie,Тещи;P;PPLX;GH;Ghana;;01;306;;;144013;;13;Africa/Accra;2019-12-05;Ghana;5.58365, -0.10722
2295021;Sunyani;Sunyani;NYI,Sun'jani,Sunjanis,Sunyani,su ni ya ni,suniani,Суньяні,蘇尼亞尼,수니아니;P;PPLA;GH;Ghana;;13;708;;;92825;;298;Africa/Accra;2023-12-01;Ghana;7.33991, -2.32676
2297126;Nsoatre;Nsoatre;Nsoatre,Nsuatre,Suatre,Нсоатре,נסואטרה;P;PPL;GH;Ghana;;13;709;;;30862;;330;Africa/Accra;2023-12-01;Ghana;7.40353, -2.46635
2302821;Bolgatanga;Bolgatanga;Bolagatanga,Bolga,Bolgatanga,Bolgatange,bo er jia tan jia,bolgatang-ga,borugatanga,Болгатанга,Болгатанге,ボルガタンガ,博爾加坦加,볼가탕가;P;PPLA;GH;Ghana;;10;904;;;81958;;191;Africa/Accra;2023-12-01;Ghana;10.78556, -0.85139
2304931;Akwatia;Akwatia;Akwatia;P;PPL;GH;Ghana;;05;525;;;33784;;138;Africa/Accra;2023-12-01;Ghana;6.04024, -0.80876
8532058;Mamponteng;Mamponteng;;P;PPLA2;GH;Ghana;;02;620;;;0;;274;Africa/Accra;2019-12-06;Ghana;6.73333, -1.55
2295065;Suhum;Suhum;Suhum,Sukhum,sufumu,Сухум,سوہوم، گھانا,スフム;P;PPL;GH;Ghana;;05;504;;;50610;;182;Africa/Accra;2023-12-01;Ghana;6.04089, -0.45004
2296564;Akim Oda;Akim Oda;Akim Oda,Akyem Oda,Insuaim,Nsuaem,Oda,akym awda,Ода,اکیم اودا,アキム・オダ;P;PPL;GH;Ghana;;05;502;;;60604;;132;Africa/Accra;2019-12-06;Ghana;5.92665, -0.98577
2299642;Kete Krachi;Kete Krachi;Kete Krachi,Kete Krakye,Kete-Kratschi,Kete-Ktachi,Krachi,Krete Kratschi;P;PPLA2;GH;Ghana;;16;416;;;11000;;117;Africa/Accra;2023-06-21;Ghana;7.79391, -0.0498
2301367;Dzodze;Dzodze;Djoje,Dzodze;P;PPL;GH;Ghana;;08;404;;;30905;;55;Africa/Accra;2023-12-01;Ghana;6.23669, 0.99578
2303878;Atebubu;Atebubu;Atebubu,Attebubu,a tai bu bu,atebubu,アテブブ,阿泰布布;P;PPL;GH;Ghana;;14;718;;;32641;;136;Africa/Accra;2023-12-01;Ghana;7.75537, -0.98085
2295468;Sefwi;Sefwi;Sefwi,Sehwi;P;PPL;GH;Ghana;;02;607;;;14206;;220;Africa/Accra;2023-12-01;Ghana;6.52306, -1.63596
2296606;Obuase;Obuase;Oboase,Obuase,Obuasi,Obuasis,Obuassi,Обуаси;P;PPL;GH;Ghana;;02;605;;;179604;;215;Africa/Accra;2023-12-01;Ghana;6.20228, -1.66796
2297289;Nkoranza;Nkoranza;Nkoransa,Nkoranza;P;PPL;GH;Ghana;;14;716;;;35401;;324;Africa/Accra;2023-12-01;Ghana;7.57127, -1.7087
2299349;Konongo;Konongo;Konongo,Konongo-Odumase;P;PPL;GH;Ghana;;02;629;;;43585;;230;Africa/Accra;2023-12-01;Ghana;6.61667, -1.21667
2300883;Foso;Foso;Foso;P;PPL;GH;Ghana;;04;214;;;20078;;148;Africa/Accra;2019-12-06;Ghana;5.70119, -1.28657
2303789;Atronie;Atronie;Antronie,Atroni,Atronie;P;PPL;GH;Ghana;;13;708;;;29748;;246;Africa/Accra;2025-12-23;Ghana;7.15341, -2.40496
2304548;Anloga;Anloga;Anloga,Awunaga,anlwga,anroga,Анлога,انلوگا,アンロガ;P;PPL;GH;Ghana;;08;402;;;34050;;6;Africa/Accra;2023-12-01;Ghana;5.79473, 0.89728
9159672;Wassa-Akropong;Wassa-Akropong;;P;PPLA2;GH;Ghana;;09;110;;;0;;86;Africa/Accra;2019-12-06;Ghana;5.78722, -2.08361
13275281;Ahwiaa;Ahwiaa;;P;PPL;GH;Ghana;;02;618;;;19729;;264;Africa/Accra;2025-03-29;Ghana;6.90306, -1.65199
2294768;Tarkwa;Tarkwa;Takwa,Tarkva,Tarkwa,Tarquah,takuwa,tarkwa,Тарква,تارکوا,タークワ;P;PPL;GH;Ghana;;09;108;;;49937;;86;Africa/Accra;2023-12-01;Ghana;5.30383, -1.98956
2294962;Swedru;Swedru;Agona,Agona Swedru,Jwewuhu,Swedru,agonaseuwedeulu,agwna swydrw,aqwna swydrw,اقونا سویدرو,اگونا سویدرو,アゴナ・スウェドゥル,아고나스웨드루;P;PPL;GH;Ghana;;04;211;;;54417;;74;Africa/Accra;2023-12-01;Ghana;5.53711, -0.69984
2298264;Mampong;Mampong;Mampon,Mampon Asante,Mampong,mampwng,man pang,manpon,mmpwng,Мампонг,ממפונג,مامپونگ,マンポン,曼龐;P;PPL;GH;Ghana;;02;622;;;51745;;395;Africa/Accra;2023-12-01;Ghana;7.06273, -1.4001
2300068;Jirapa;Jirapa;Jirapa;P;PPL;GH;Ghana;;11;1006;;;91279;;316;Africa/Accra;2025-07-04;Ghana;10.53689, -2.70155
2301639;Dome;Dome;Dam,Dom,Dome,Дом;P;PPL;GH;Ghana;;01;303;;;48285;;35;Africa/Accra;2023-12-01;Ghana;5.65003, -0.2361
